r,q,sigma,S,err_price
0.004350118605971565,0.03951507584675038,0.33421352300802887,69.80271118161696,[0.01489104]
0.0876266451704159,0.04323890954448474,0.3098207318549823,79.04267429349883,[0.07851672]
0.06152545734642763,0.09536599623823228,0.22400735826204482,70.70498382533142,[0.03412072]
0.04253672919053865,0.04445742647637577,0.2538087433359807,102.5733249810958,[0.0242345]
0.004242919188254613,0.016441908617012002,0.22511358980868662,120.79711706189208,[-0.00352556]
0.07775879083055337,0.07771029994696448,0.2513893762546107,145.67475933072475,[0.00385893]
0.03318737125398759,0.048145816234603324,0.37418699967051816,135.7839518439514,[0.01298851]
0.041446005513291154,0.08486845142673234,0.2222854708753546,121.57470842863543,[0.00845876]
0.0008448363578819729,0.002520142367074896,0.47022524677104427,60.21379482311935,[0.214889]
0.06619677904397077,0.028325874382112082,0.1004211718877227,88.8334182114759,[-0.32523513]
0.09259015965084993,0.05702742097507191,0.45835730597894125,120.2264240819725,[-0.00482324]
0.0501216451687087,0.05060868335126389,0.10941039316468637,50.46635227350499,[0.0331018]
0.041783624400271585,0.056337611033903515,0.43828093421166353,117.75848402279094,[0.01356157]
0.08423330461034713,0.092616128692492,0.47055793681681113,131.6019151924394,[-0.00214126]
0.013139460547944383,0.0346630014990264,0.10425124726276125,136.73815371565234,[-0.00262082]
0.0792330219306258,0.03490016406838594,0.2845702660278177,130.51315402557015,[0.00125783]
0.08331612447339763,0.020579367695007202,0.3653401002630578,130.3414164159449,[0.00410695]
0.004312903635336274,0.010718740423157992,0.21754182492941382,72.08812218607441,[0.05799224]
0.08806220661656808,0.07196875377244114,0.3565036467734905,126.9859656992702,[-0.00901058]
0.033074702616940475,0.02286102518330989,0.3131719796005132,91.44792495253893,[0.03782105]
0.0936781072234186,0.06424524189027923,0.1934501715061841,135.51196608041906,[0.02596745]
0.03807925837162081,0.01783098277777202,0.3908297128330407,97.22085874158014,[0.00172201]
0.025948040440427714,0.0692399245881231,0.49024253949938923,74.62535889677898,[0.06708791]
0.07902438025940453,0.07623352442240589,0.060019896088707,133.89025945590006,[-0.0031054]
0.04617389047565317,0.012578138255308758,0.2681717365480343,79.6512750794629,[0.09194052]
0.01757241932567306,0.007923817070079964,0.09944954591474958,92.95886190564138,[-0.05841726]
0.06418117636288316,0.00873791787897964,0.3578652938854826,60.174481096338205,[0.13537073]
0.017559907090882187,0.07133215621574106,0.44263183720524457,148.31383610430723,[-0.003163]
0.06529069507012146,0.047773635300637544,0.04389377744249723,105.89507946972768,[0.02601449]
0.018115022940864645,0.051440206047122065,0.3044650744671958,133.3212490122604,[0.0008382]
