r,q,sigma,avg_error_curve,max_error_curve
0.08051315402557016,0.08331612447339763,0.102896838475036,-0.0038781177617791636,-0.008122380558075504
0.07306802005261157,0.0803414164159449,0.02156451817668137,-0.003769273235555126,-0.0054766862220101895
0.010718740423157992,0.043508364985882765,0.11044061093037205,0.030581929891259386,0.03652656257924332
0.08806220661656808,0.07196875377244114,0.3565036467734905,-0.0017975781303522498,-0.005085333839256559
0.0769859656992702,0.033074702616940475,0.11430512591654945,0.0015647675072921858,0.0061197905708415936
0.06263439592010264,0.04144792495253892,0.46839053611709297,-0.001805999202076833,-0.003813225091832125
0.06424524189027923,0.038690034301236825,0.4275598304020953,-0.0013124287801999366,-0.003508678998302385
0.03807925837162081,0.01783098277777202,0.3908297128330407,-0.0005995489595179322,-0.00417124921377786
0.04722085874158014,0.025948040440427714,0.3461996229406155,-0.0008246805579783508,-0.003490728621795869
0.09804850789987785,0.024625358896778984,0.3951219012970226,6.961046956560258e-06,-0.007358225759933747
0.07623352442240589,0.012003979217741401,0.4194512972795003,0.0002518439977045037,-0.00526420879758471
0.04617389047565317,0.012578138255308758,0.2681717365480343,-0.0006869462831060406,-0.004244192654462043
0.029651275079462903,0.01757241932567306,0.03961908535039982,0.0017536600004600114,0.0074150537081056345
0.019889909182949916,0.04295886190564138,0.3209058818144158,-0.0042240200268617,-0.008415787990021475
0.00873791787897964,0.07157305877709652,0.05087240548169103,-0.07584252062425012,-0.08683737874630464
0.017559907090882187,0.07133215621574106,0.44263183720524457,-0.010339944220122963,-0.017776359675660852
0.09831383610430723,0.06529069507012146,0.2388681765031877,-0.00021636635954801846,-0.004864134767575041
0.008778755488499447,0.055895079469727674,0.09057511470432322,-0.01895079113333039,-0.02473719962255959
0.051440206047122065,0.06089301489343916,0.4166062450613021,-0.0030541581557052408,-0.013609165402622943
0.03237505822561465,0.09888620933197066,0.4974751299838966,-0.019767293669156975,-0.025017627059519213
0.08261508194397968,0.06941525454251833,0.3668348990484883,-0.0020250639616403855,-0.004871594893227144
0.08752688098046627,0.09515101483457324,0.4261314632987756,-0.004125676945238388,-0.019646178473350647
0.06409386397788643,0.007349838471443659,0.3116923571479193,0.00030622756381163205,-0.006004614889463675
0.035321389178551856,0.016477862322429638,0.4465830932835217,-0.001652956066099647,-0.005479001524998907
0.08248904812066794,0.052663842385283335,0.23172462807678623,0.00029925358452655333,-0.004975082179292862
0.04893012881271256,0.026072001971945202,0.2013189615665737,0.0003875013888167457,0.004526480373242379
0.043666987972703,0.0015056134248370046,0.4464529415393579,-0.0006018733178057491,-0.003520306265380099
0.0029149317847511737,0.03728928840117262,0.04793665734638608,-0.03938843380081374,-0.05373744430277968
0.019696432035003854,0.09424206123971432,0.18563558583394818,-0.034086623721136425,-0.03951319420041511
0.0729000801821477,0.01261601086290215,0.12564146085360467,0.0022919772209785806,0.007170302006988645
0.08812352971212316,0.09032961504890155,0.143817629107944,-0.0013901129467435095,0.007621154730844462
0.09671131315122963,0.0668099335625191,0.2515033867671633,-0.000589633039600031,-0.004663406852491427
0.037800240864855554,0.033736829429645836,0.47600535254150056,-0.007933476838944025,-0.019431109764259557
0.0693333828589223,0.053410170007333724,0.02174484896813872,0.0014823675998597344,0.0054839235011532326
0.024755087562254054,0.09431707226672083,0.27843008312162665,-0.012425987992493623,-0.016635983520962714
0.03575182323552321,0.0009450374137899287,0.12677413361246148,0.0021820816765933276,0.00749889318247076
0.02542266901505368,0.01706855260340261,0.1724899798385956,0.0011075802924041147,0.006342876225216187
0.020264905134772384,0.006290154018084105,0.0489801979431293,0.005710331171592904,0.01311705294183726
0.04967275023141152,0.0069660590412445435,0.4675767816757442,-0.0012041441960987953,-0.004306016718050982
0.020609763517058368,0.04642123499590466,0.20733412855331845,-0.0027842854271943407,-0.004843436689055571
0.02913377184329823,0.03235285148200442,0.10579879170806988,-0.013232859276472025,-0.019605600832514315
0.028026828777019876,0.01171050356965896,0.344625937388772,-0.000598383812436357,-0.002539692749407354
0.06445261893744574,0.031152940334298464,0.4401494780787484,-0.001340335082380056,-0.004045048036467161
0.03863757250945609,0.06110893003188686,0.2615846630875976,-0.011628541383206492,-0.014239494974485364
0.03250568036101299,0.09297904230651627,0.4241007044981519,-0.015351758354661543,-0.022264728628338178
0.0841122948019908,0.09542886365563277,0.0012412131340482357,-0.004448025699044965,-0.00826585793971894
0.0492119100230627,0.09379131190646038,0.0672133799115695,-0.014328713705803046,-0.016554427595719318
0.024499413841416975,0.05050619205771411,0.3392107549109413,-0.005049258087361776,-0.008233357355715152
0.033275995761694925,0.030636467159000726,0.3878989556107745,-0.007964706049851823,-0.015545388097299453
0.003285393822844762,0.0785797862521729,0.21427014073010464,-0.020305404436676912,-0.027785480895842197
0.06290094571685605,0.07055030249067998,0.049234314710708826,-0.004347014927318066,-0.005143962956570171
0.09038461648748866,0.08223124686177459,0.18769071862687492,-0.002276820981156011,-0.004799108821103545
0.01947943284958592,0.0062805438055839385,0.15430446307010737,0.0003144645979482612,-0.0035365041693847
0.0713191960602056,0.08131817161798931,0.16329415060861974,0.003930086959071391,0.014020527017727418
0.022028988660782102,0.032739418364654084,0.48218341815287424,-0.007867528647173834,-0.030062038893155795
0.009609070017703093,0.0162183447643939,0.34711955947638024,0.016447456470279502,0.040919457231644585
0.013976349904776565,0.026662589262979465,0.4015879362290384,-0.005139589218403571,-0.017669591300784562
0.03006117838583663,0.05970165488712548,0.2864061438826784,-0.01031370757777722,-0.01571848118784863
0.02654434715786691,0.024873428889263027,0.14483774533100813,-0.001195337700013525,-0.01119483548155431
0.08759400724240313,0.0018758146770764816,0.045818206056151445,0.0031113158580797556,0.006697200753124115
0.034120995915425216,0.022030165511965096,0.2814286994578601,-0.002171142061592033,-0.004561909654315408
0.05394610945743267,0.049536200280432575,0.15037653500167708,-0.002129893951917955,-0.004426010755337751
0.05114487253382032,0.07862285167515536,0.40625279074610676,-0.0035196003053698244,-0.008832403262806866
0.05328408874958466,0.08063352144105171,0.017137739804822583,-0.009718709997128587,-0.01119183791128051
0.01540661208995099,0.07481850276686759,0.19243494861114147,-0.02345789686970541,-0.03031460274000029
0.03178984901953437,0.057200881296698584,0.18621025756818954,-0.004375900531164912,-0.007404195421815781
0.09095299099914622,0.03869712250229682,0.4181245977086373,-0.0009522404124583134,-0.00555411095312083
0.06017637200942211,0.09120187774422991,0.24202678717733755,-0.005402824849440155,-0.009824296939636157
0.09585140665956837,0.057670966045295126,0.013872148993043787,-0.00040283827092941875,-0.003969686749032935
0.07388708492176714,0.08614007965823309,0.04927500470172541,-0.005009753842465263,-0.007629510287361618
0.0963443040844573,0.05634260361016372,0.3703509554688593,-0.0014623753462038615,-0.00393357811661764
0.02240013180127022,0.09411824956874715,0.3216642296479363,-0.019080900324451717,-0.02325163599225475
0.05433186379330061,0.09613901971756732,0.27848436633332924,-0.016396435548702928,-0.01967043352172792
0.05316683919455354,0.004476696205302488,0.2731944849821456,0.0003809370043957011,-0.005940048245819631
0.07443608893284424,0.036840323003201225,0.3396630067906104,-0.00130399290922012,-0.004713569002456714
0.05641078118839661,0.020797501638302764,0.27340696156078775,-0.0005471969054602397,-0.004463448253110198
0.04759887408792546,0.03377196207061569,0.3313176003174406,-0.0009727344113000334,-0.003133971626343606
0.006115376859333066,0.037277142561922716,0.217054673442733,0.0038561029252700226,0.018090705640207067
0.0973867621457174,0.06981993545703531,0.31289431006472185,-0.001061038854450528,-0.0045504061383674545
0.015594451246101438,0.043509242639066505,0.18561754944718822,-0.021104558790148942,-0.023574035048421142
0.09403975501846135,0.04528176311820769,0.4275499934612236,-0.0009733791722416329,-0.004782529294167885
0.06536118514130061,0.08792869554171545,0.001667722399538607,-0.010527095534987355,-0.014396638499450961
0.09247882362767179,0.09512937542798096,0.07746775834667602,-0.002759925776633158,-0.007521715729677888
0.0065710676058981735,0.03172833574910473,0.2927777249387893,-0.03697111715928771,-0.055766713120558406
0.05241313450448837,0.04351226187451721,0.45633857625710483,-0.0016109693839138962,-0.004211646987160263
0.056997665199255025,0.09341367486942814,0.2880771770280344,-0.010719076700207877,-0.013589881555723838
0.01851801941495327,0.09820787088866882,0.49925163020555186,-0.037754777789807105,-0.06553017997332022
0.04464681083335516,0.07624305583027202,0.3182817090922908,-0.012460633575594356,-0.015047009004002722
0.01852439749130982,0.05792019600682361,0.3271209673155418,-0.008309070768952754,-0.012578763309756921
0.0593740370195616,0.05414766389935005,0.2959395342678918,-0.0013161405877584905,-0.003952203460622556
0.0708991172293578,0.07709779736613112,0.044525098148877174,-0.0037867950445236347,-0.005122839053928808
0.09134954904132798,0.04496250050577455,0.34831055790559734,-0.0012389305001431969,-0.005943028035908428
0.03876390491667195,0.00510571487547602,0.33182062880962576,-4.613945301524572e-05,0.0034277626738866292
0.03656605641488656,0.05527799601314446,0.13329492027863893,-0.009022360948507906,-0.011313387464100544
0.020387608067190602,0.029620495381253012,0.4209338162959998,-0.010425670896225814,-0.02623019693895604
0.09240151916739525,0.09785835876003031,0.20716547368311133,-0.0014125552893708823,-0.00927414817991402
0.07731865694302109,0.01680531205904854,0.37212794557818935,0.00038814227323665787,-0.005414875094110445
0.04242063184661406,0.08440920891688769,0.09851012952986393,-0.018629736154849023,-0.021026651655103853
0.08189155413922888,0.007232532311351159,0.4230538558760853,0.0008127994974300945,-0.006820391061610447
0.04236489364382933,0.014074135541701694,0.15295857544837693,0.0006267085936090119,-0.004078063063625588
0.0709361933483824,0.04462849674538119,0.11663217941127568,-0.0003890471179417692,-0.005325438983349188
0.023876549511646663,0.06931732530029772,0.323884738947171,-0.0060772049841044465,-0.007924698233259952
0.006392509607999475,0.08125176994222678,0.07009209158369367,-0.0756035219768798,-0.09608231959768576
0.024056424441156268,0.0013903825184684027,0.2531274176696669,0.0017822200085431635,0.0053141077141067175
0.08509320488288052,0.09297370841390667,0.23165488722158145,-0.001967981556467109,-0.009447234656418304
0.010274927548709479,0.04743051157547495,0.14522913553153338,0.016593132738929237,0.02470841281381419
0.030939728053823768,0.02429590901039319,0.4768457744566177,-0.0061925326005417974,-0.01587691149150392
0.039741032927442944,0.00035734334650691093,0.24763108122943867,0.0002860640100761496,-0.0058125142199445135
0.07001977471477516,0.08152703162348696,0.37669341467104156,-0.00048656904904115125,-0.007611719316009252
0.07021622659497585,0.019809562814943383,0.1750526887130478,0.0007214825389251977,0.006042820048401604
0.04594720626912786,0.013696234848675659,0.21368873470897726,0.00019017570278857793,-0.004370600107554058
0.010148815654607136,0.008725561520610292,0.41809286384896815,-0.007077111068607307,-0.05551144016306057
0.016894755841793906,0.047286841209022545,0.3124561990804626,-0.019706000712185544,-0.024736036727155276
0.09389688839704707,0.030632322550236003,0.09056072415779015,0.0014326160506264157,0.006459828678668887
0.08754213432262468,0.030358579774905872,0.13882653629374497,0.0012794474702816562,0.005812928026829582
0.015012789635989643,0.044468182224225966,0.11573736294817555,-0.018850151340549053,-0.023771908134659556
0.03588615967449317,0.033364657677519206,0.3124437848914099,-0.004425351253265486,-0.009090357646932142
0.0445702197086795,0.06779434434790586,0.15042843450538101,-0.009425781047692011,-0.01093427435492418
0.032238179606662046,0.09982795301717684,0.11913695390960621,-0.017112655834272256,-0.020087803485250882
0.0762861478793503,0.06995866830533631,0.3239203255765561,-0.0023264829460033104,-0.005607510169248036
0.012156159925168775,0.0005572317266465788,0.3727766291657261,-0.009758103346735195,-0.018209692976156353
0.008302849889236718,0.02427191203435788,0.49461381588113723,0.014400823516570401,0.021007470626933093
0.09661141753860625,0.09213247498180932,0.2916322397172794,-0.0024155600394622292,-0.00506506701615183
0.045623203670491,0.04623376020117184,0.16986957412493686,-0.0026667638851319143,-0.006531969500094138
0.0967353302165056,0.08159795485724872,0.4959626187055061,0.0001430400705271476,0.005944977603350065
0.03008817133829891,0.05798507253564827,0.3410339305779005,-0.0023533836437517105,-0.005776237144503583
0.03836291545431915,0.05841780001239667,0.0982586091528857,-0.012046389904541604,-0.015394539902751697
0.03138682041025747,0.013494683208235537,0.3213893546359967,-0.000477761888517475,-0.0025923591545978213
